1,Accounting,2015-02-02 12:00:00
2,Automotive,2015-02-02 12:00:00
3,Business,2015-02-02 12:00:00
4,Construction,2015-02-02 12:00:00
5,Delivery,2015-02-02 12:00:00
6,Education,2015-02-02 12:00:00
7,Engineering,2015-02-02 12:00:00
8,Food,2015-02-02 12:00:00
9,Government,2015-02-02 12:00:00
10,Health/Beauty,2015-02-02 12:00:00
11,Hospitality,2015-02-02 12:00:00
12,human services,2015-02-02 12:00:00
13,Information technology,2015-02-02 12:00:00
14,Installation/repair,2015-02-02 12:00:00
15,Management,2015-02-02 12:00:00
16,Manufacturing,2015-02-02 12:00:00
17,Media,2015-02-02 12:00:00
18,Non-profit,2015-02-02 12:00:00
19,Sales/marketing,2015-02-02 12:00:00
20,Science,2015-02-02 12:00:00
21,Transportation,2015-02-02 12:00:00
